DATE;WEEKDAY;HOUR_OF_THE_DAY;BLOCK_ID_COUNT;TOTAL_OCCUPIED_RATIO
24/07/12;1;00:00:00;14;0.2548116859421631
24/07/12;1;01:00:00;14;0.12010789403476071
24/07/12;1;02:00:00;14;0.11949960306128878
24/07/12;1;03:00:00;14;0.3378640807168764
24/07/12;1;04:00:00;14;0.15549791553613732
24/07/12;1;05:00:00;14;0.32615235117265867
24/07/12;1;06:00:00;14;0.29426004321486543
24/07/12;1;07:00:00;14;0.30650536946594653
24/07/12;1;08:00:00;14;0.47103541687646794
24/07/12;1;09:00:00;14;0.714578272769176
24/07/12;1;10:00:00;14;0.6003328452760944
24/07/12;1;11:00:00;14;0.7370904691827797
24/07/12;1;12:00:00;14;0.7371349422237907
24/07/12;1;13:00:00;14;0.49377762982703965
24/07/12;1;14:00:00;14;0.7656189089940917
24/07/12;1;15:00:00;14;0.5638299037306623
24/07/12;1;16:00:00;14;0.6968811648612879
24/07/12;1;17:00:00;14;0.660925237394348
24/07/12;1;18:00:00;14;0.7395734829699383
24/07/12;1;19:00:00;14;0.7403208761866676
24/07/12;1;20:00:00;14;0.7923101253308067
24/07/12;1;21:00:00;14;0.4328026225489186
24/07/12;1;22:00:00;14;0.610761830398633
24/07/12;1;23:00:00;14;0.31775269524489663
25/07/12;2;00:00:00;14;0.42935593908088643
25/07/12;2;01:00:00;14;0.41881029215137433
25/07/12;2;02:00:00;14;0.16580875632364628
25/07/12;2;03:00:00;14;0.23967826221175026
25/07/12;2;04:00:00;14;0.046893765448875566
25/07/12;2;05:00:00;14;0.46647336314822846
25/07/12;2;06:00:00;14;0.36247582265418343
25/07/12;2;07:00:00;14;0.5226642961039016
25/07/12;2;08:00:00;14;0.509352015201257
25/07/12;2;09:00:00;14;0.47179104832270785
25/07/12;2;10:00:00;14;0.4736550723010936
25/07/12;2;11:00:00;14;0.6200634807711387
25/07/12;2;12:00:00;14;0.832614132008252
25/07/12;2;13:00:00;14;0.9669364825306157
25/07/12;2;14:00:00;14;1
25/07/12;2;15:00:00;14;0.8709843287189252
25/07/12;2;16:00:00;14;0.5608447069151451
25/07/12;2;17:00:00;14;0.7208234114838392
25/07/12;2;18:00:00;14;0.9315187602449597
25/07/12;2;19:00:00;14;0.7435477896887243
25/07/12;2;20:00:00;14;0.6183572858886756
25/07/12;2;21:00:00;14;0.7686399828371313
25/07/12;2;22:00:00;14;0.5815345841066671
25/07/12;2;23:00:00;14;0.5628098235859312
26/07/12;3;00:00:00;14;0.48052314321822764
26/07/12;3;01:00:00;14;0.4656294668612485
26/07/12;3;02:00:00;14;0.14722885730410445
26/07/12;3;03:00:00;14;0.03600193087414626
26/07/12;3;04:00:00;14;0.12184632504394041
26/07/12;3;05:00:00;14;0.3542726776691014
26/07/12;3;06:00:00;14;0.3685700143956564
26/07/12;3;07:00:00;14;0.3832144459717134
26/07/12;3;08:00:00;14;0.6115103608801054
26/07/12;3;09:00:00;14;0.6064492920108854
26/07/12;3;10:00:00;14;0.49132423454066454
26/07/12;3;11:00:00;14;0.5543423757270134
26/07/12;3;12:00:00;14;0.9484773645660631
26/07/12;3;13:00:00;14;0.4104184796529303
26/07/12;3;14:00:00;14;0.6452566370995739
26/07/12;3;15:00:00;14;0.5485528453308446
26/07/12;3;16:00:00;14;0.7222440038972824
26/07/12;3;17:00:00;14;0.5038474072310649
26/07/12;3;18:00:00;14;1
26/07/12;3;19:00:00;14;0.8675794813529516
26/07/12;3;20:00:00;14;0.824000808557419
26/07/12;3;21:00:00;14;0.6633640725653508
26/07/12;3;22:00:00;14;0.6993580630497903
26/07/12;3;23:00:00;14;0.6135526820416378
27/07/12;4;00:00:00;14;0.19807678323751915
27/07/12;4;01:00:00;14;0.35295496581136687
27/07/12;4;02:00:00;14;0.011018599421976347
27/07/12;4;03:00:00;14;0.21825567100477183
27/07/12;4;04:00:00;14;0.07549143677265258
27/07/12;4;05:00:00;14;0.38030102357392614
27/07/12;4;06:00:00;14;0.12402571921070275
27/07/12;4;07:00:00;14;0.5307732010520618
27/07/12;4;08:00:00;14;0.4108834236948934
27/07/12;4;09:00:00;14;0.5744603543914842
27/07/12;4;10:00:00;14;0.6717228518820353
27/07/12;4;11:00:00;14;0.6314948183676132
27/07/12;4;12:00:00;14;0.9248292271966276
27/07/12;4;13:00:00;14;0.6074753662491156
27/07/12;4;14:00:00;14;0.9749522934491255
27/07/12;4;15:00:00;14;0.7324647408160362
27/07/12;4;16:00:00;14;0.5043814136580548
27/07/12;4;17:00:00;14;0.800275093101622
27/07/12;4;18:00:00;14;0.7709575927843555
