DATE;WEEKDAY;HOUR_OF_THE_DAY;BLOCK_ID_COUNT;TOTAL_OCCUPIED_RATIO
24/07/12;1;00:00:00;37;0.1402586181142984
24/07/12;1;01:00:00;37;0.07531275256538171
24/07/12;1;02:00:00;37;0.2973018465228479
24/07/12;1;03:00:00;37;0.24534433263359584
24/07/12;1;04:00:00;37;0.020971128000455447
24/07/12;1;05:00:00;37;0.3392312053691323
24/07/12;1;06:00:00;37;0.4476515226884019
24/07/12;1;07:00:00;37;0.5462972145593351
24/07/12;1;08:00:00;37;0.5494009259925201
24/07/12;1;09:00:00;37;0.8127478784402415
24/07/12;1;10:00:00;37;0.7045214086180902
24/07/12;1;11:00:00;37;0.7536904121690506
24/07/12;1;12:00:00;37;0.6572281249950876
24/07/12;1;13:00:00;37;0.4846554788248636
24/07/12;1;14:00:00;37;0.48983272135997247
24/07/12;1;15:00:00;37;0.4103204011183549
24/07/12;1;16:00:00;37;0.8365877190999638
24/07/12;1;17:00:00;37;0.5952405759637489
24/07/12;1;18:00:00;37;0.8865260549455416
24/07/12;1;19:00:00;37;0.43648375847568277
24/07/12;1;20:00:00;37;0.7411373221155051
24/07/12;1;21:00:00;37;0.44459359241011875
24/07/12;1;22:00:00;37;0.380266984049067
24/07/12;1;23:00:00;37;0.2853219790922953
25/07/12;2;00:00:00;37;0.5800054569686287
25/07/12;2;01:00:00;37;0.45480235098955446
25/07/12;2;02:00:00;37;0.10137339726544513
25/07/12;2;03:00:00;37;0
25/07/12;2;04:00:00;37;0.20041341421387882
25/07/12;2;05:00:00;37;0.26076666352701633
25/07/12;2;06:00:00;37;0.389500792477505
25/07/12;2;07:00:00;37;0.3331403370369622
25/07/12;2;08:00:00;37;0.2731395239338118
25/07/12;2;09:00:00;37;0.5258749873289065
25/07/12;2;10:00:00;37;0.523333823269843
25/07/12;2;11:00:00;37;0.7094419720990177
25/07/12;2;12:00:00;37;0.5889521305463262
25/07/12;2;13:00:00;37;0.7529783908184744
25/07/12;2;14:00:00;37;0.7627462332628053
25/07/12;2;15:00:00;37;0.8690332580887234
25/07/12;2;16:00:00;37;0.6834900031882394
25/07/12;2;17:00:00;37;0.6119590276993224
25/07/12;2;18:00:00;37;0.9290545397322846
25/07/12;2;19:00:00;37;0.6777209860035857
25/07/12;2;20:00:00;37;0.8103047339743065
25/07/12;2;21:00:00;37;0.8807020495616731
25/07/12;2;22:00:00;37;0.31622250948293434
25/07/12;2;23:00:00;37;0.6709914715968984
26/07/12;3;00:00:00;37;0.38080672577308666
26/07/12;3;01:00:00;37;0.2537139385333007
26/07/12;3;02:00:00;37;0.21064385089681809
26/07/12;3;03:00:00;37;0
26/07/12;3;04:00:00;37;0.27754023492544855
26/07/12;3;05:00:00;37;0.11585198435506161
26/07/12;3;06:00:00;37;0.33288289913038405
