park_id,date,weekday,hour,occupacy_percentage
32,2017-09-03,Sun,12:00:00,0.0
32,2017-09-03,Sun,12:30:00,0.0
32,2017-09-03,Sun,13:00:00,0.0
32,2017-09-03,Sun,13:30:00,0.0
32,2017-09-03,Sun,14:00:00,0.0
32,2017-09-03,Sun,14:30:00,0.0
32,2017-09-03,Sun,15:00:00,0.0
32,2017-09-03,Sun,15:30:00,0.0
32,2017-09-03,Sun,16:00:00,0.0
32,2017-09-03,Sun,16:30:00,0.0
32,2017-09-03,Sun,17:00:00,0.0
32,2017-09-03,Sun,17:30:00,0.0
32,2017-09-03,Sun,18:00:00,0.0
32,2017-09-03,Sun,18:30:00,0.0
32,2017-09-03,Sun,19:00:00,0.0
32,2017-09-03,Sun,19:30:00,0.0
32,2017-09-03,Sun,20:00:00,0.0
32,2017-09-03,Sun,20:30:00,0.0
32,2017-09-03,Sun,21:00:00,0.0
32,2017-09-03,Sun,21:30:00,0.0
32,2017-09-03,Sun,22:00:00,0.0
32,2017-09-03,Sun,22:30:00,0.0
32,2017-09-03,Sun,23:00:00,0.0
32,2017-09-03,Sun,23:30:00,0.0
32,2017-09-04,Mon,00:00:00,0.0
32,2017-09-04,Mon,00:30:00,0.0
32,2017-09-04,Mon,01:00:00,0.0
32,2017-09-04,Mon,01:30:00,0.0
32,2017-09-04,Mon,02:00:00,0.0
32,2017-09-04,Mon,02:30:00,0.0
32,2017-09-04,Mon,03:00:00,0.0
32,2017-09-04,Mon,03:30:00,0.0
32,2017-09-04,Mon,04:00:00,0.0
32,2017-09-04,Mon,04:30:00,0.0
32,2017-09-04,Mon,05:00:00,0.0
32,2017-09-04,Mon,05:30:00,0.0
32,2017-09-04,Mon,06:00:00,0.0
32,2017-09-04,Mon,06:30:00,0.0
32,2017-09-04,Mon,07:00:00,0.0
32,2017-09-04,Mon,07:30:00,23.1
32,2017-09-04,Mon,08:00:00,53.8
32,2017-09-04,Mon,08:30:00,53.8
32,2017-09-04,Mon,09:00:00,53.8
32,2017-09-04,Mon,09:30:00,53.8
32,2017-09-04,Mon,10:00:00,46.2
32,2017-09-04,Mon,10:30:00,30.8
32,2017-09-04,Mon,11:00:00,23.1
32,2017-09-04,Mon,11:30:00,15.4
32,2017-09-04,Mon,12:00:00,15.4
32,2017-09-04,Mon,12:30:00,15.4
32,2017-09-04,Mon,13:00:00,15.4
32,2017-09-04,Mon,13:30:00,15.4
32,2017-09-04,Mon,14:00:00,7.7
32,2017-09-04,Mon,14:30:00,7.7
32,2017-09-04,Mon,15:00:00,7.7
32,2017-09-04,Mon,15:30:00,0.0
32,2017-09-04,Mon,16:00:00,7.7
32,2017-09-04,Mon,16:30:00,7.7
32,2017-09-04,Mon,17:00:00,7.7
32,2017-09-04,Mon,17:30:00,7.7
32,2017-09-04,Mon,18:00:00,7.7
32,2017-09-04,Mon,18:30:00,7.7
