DATE;WEEKDAY;HOUR_OF_THE_DAY;BLOCK_ID_COUNT;TOTAL_OCCUPIED_RATIO
24/07/12;1;00:00:00;45;0.19714132719632824
24/07/12;1;01:00:00;45;0
24/07/12;1;02:00:00;45;0.3574521420865291
24/07/12;1;03:00:00;45;0.32249430164335247
24/07/12;1;04:00:00;45;0.07746178609538669
24/07/12;1;05:00:00;45;0.2199354216420592
24/07/12;1;06:00:00;45;0.5621471861808865
24/07/12;1;07:00:00;45;0.652893182161124
24/07/12;1;08:00:00;45;0.5915226003933739
24/07/12;1;09:00:00;45;0.7162083692735703
24/07/12;1;10:00:00;45;0.72047405757727
24/07/12;1;11:00:00;45;0.726528480895117
24/07/12;1;12:00:00;45;0.5593044607252323
24/07/12;1;13:00:00;45;0.4564678159286337
24/07/12;1;14:00:00;45;0.6048311163987751
24/07/12;1;15:00:00;45;0.44039806559369354
24/07/12;1;16:00:00;45;0.7957563376866855
24/07/12;1;17:00:00;45;0.48494852945648026
24/07/12;1;18:00:00;45;0.843693357184276
24/07/12;1;19:00:00;45;0.44041132560941054
24/07/12;1;20:00:00;45;0.6187090922535757
24/07/12;1;21:00:00;45;0.3983788861635109
24/07/12;1;22:00:00;45;0.29830209807642616
24/07/12;1;23:00:00;45;0.25720129036723
25/07/12;2;00:00:00;45;0.6809279825940637
25/07/12;2;01:00:00;45;0.5141864112341114
25/07/12;2;02:00:00;45;0.05437860195628495
25/07/12;2;03:00:00;45;0
25/07/12;2;04:00:00;45;0.144142920361926
25/07/12;2;05:00:00;45;0.27996181924853836
25/07/12;2;06:00:00;45;0.27362263790857105
25/07/12;2;07:00:00;45;0.23502930771027467
25/07/12;2;08:00:00;45;0.3632340472524124
25/07/12;2;09:00:00;45;0.4390051914493433
25/07/12;2;10:00:00;45;0.40989541130867235
25/07/12;2;11:00:00;45;0.5979313612070379
25/07/12;2;12:00:00;45;0.5207122751354949
25/07/12;2;13:00:00;45;0.7240037720821134
25/07/12;2;14:00:00;45;0.7963959429386007
25/07/12;2;15:00:00;45;0.9503218125758207
25/07/12;2;16:00:00;45;0.6548180977856703
25/07/12;2;17:00:00;45;0.6235919263069989
25/07/12;2;18:00:00;45;0.8240156596138648
25/07/12;2;19:00:00;45;0.7895462348050859
25/07/12;2;20:00:00;45;0.9249454144334958
25/07/12;2;21:00:00;45;0.9881853785652734
25/07/12;2;22:00:00;45;0.3493198778258708
25/07/12;2;23:00:00;45;0.7933591451513208
26/07/12;3;00:00:00;45;0.5019443393141346
26/07/12;3;01:00:00;45;0.21704790834361593
26/07/12;3;02:00:00;45;0.14094879969844565
26/07/12;3;03:00:00;45;0
26/07/12;3;04:00:00;45;0.3762476167693399
26/07/12;3;05:00:00;45;0.05570830747990024
26/07/12;3;06:00:00;45;0.2827761323065324
26/07/12;3;07:00:00;45;0.16079504605412914
26/07/12;3;08:00:00;45;0.7884628521590593
26/07/12;3;09:00:00;45;0.2298597666130297
26/07/12;3;10:00:00;45;0.37130160764147835
26/07/12;3;11:00:00;45;0.7866695367918785
26/07/12;3;12:00:00;45;0.9118168543823824
26/07/12;3;13:00:00;45;0.4551652292728415
26/07/12;3;14:00:00;45;0.32700337114414946
26/07/12;3;15:00:00;45;0.5730854195798044
26/07/12;3;16:00:00;45;0.9809365933895916
26/07/12;3;17:00:00;45;0.4434112655742415
26/07/12;3;18:00:00;45;0.9987141818035309
26/07/12;3;19:00:00;45;0.8980775502987152
26/07/12;3;20:00:00;45;1
26/07/12;3;21:00:00;45;0.4797521860152238
26/07/12;3;22:00:00;45;0.8461823388416748
26/07/12;3;23:00:00;45;0.5620002260008782
27/07/12;4;00:00:00;45;0.2835252967514954
27/07/12;4;01:00:00;45;0.31817413875328965
27/07/12;4;02:00:00;45;0.3553198872725581
27/07/12;4;03:00:00;45;0
27/07/12;4;04:00:00;45;0.10093932778309593
27/07/12;4;05:00:00;45;0.511262595341892
27/07/12;4;06:00:00;45;0.05671661784634721
27/07/12;4;07:00:00;45;0.8043329150792647
27/07/12;4;08:00:00;45;0.6109780170422875
27/07/12;4;09:00:00;45;0.44701187477665205
27/07/12;4;10:00:00;45;0.8547797486313975
27/07/12;4;11:00:00;45;0.611105590638703
27/07/12;4;12:00:00;45;0.7395551980657994
27/07/12;4;13:00:00;45;0.7216109084731265
27/07/12;4;14:00:00;45;0.7639003095486814
27/07/12;4;15:00:00;45;0.9038690676608478
27/07/12;4;16:00:00;45;0.5702426784236172
27/07/12;4;17:00:00;45;0.6182928526920416
27/07/12;4;18:00:00;45;1
27/07/12;4;19:00:00;45;0.6080904381844643
27/07/12;4;20:00:00;45;0.657573010615754
27/07/12;4;21:00:00;45;0.5812790715015432
27/07/12;4;22:00:00;45;0.6784085428650628
27/07/12;4;23:00:00;45;0.6090410459141276
28/07/12;5;00:00:00;45;0.42271066963297405
28/07/12;5;01:00:00;45;0.5738641810530924
28/07/12;5;02:00:00;45;0.46901626793389484
28/07/12;5;03:00:00;45;0.21304058572174156
28/07/12;5;04:00:00;45;0.7047570728321473
28/07/12;5;05:00:00;45;0.013708295095267622
28/07/12;5;06:00:00;45;0
28/07/12;5;07:00:00;45;0.254402064208127
28/07/12;5;08:00:00;45;0.4659388078588763
28/07/12;5;09:00:00;45;0.49104771110570433
28/07/12;5;10:00:00;45;0.8061849385397111
28/07/12;5;11:00:00;45;0.8743181172700872
28/07/12;5;12:00:00;45;0.5617317873976087
28/07/12;5;13:00:00;45;0.679845240527423
28/07/12;5;14:00:00;45;0.5373453774328975
28/07/12;5;15:00:00;45;0.4029816306108406
28/07/12;5;16:00:00;45;0.4302582691859033
28/07/12;5;17:00:00;45;0.30069050083712534
28/07/12;5;18:00:00;45;0.645151181277321
28/07/12;5;19:00:00;45;0.7782109030280507
28/07/12;5;20:00:00;45;1
28/07/12;5;21:00:00;45;0.7137278073858868
28/07/12;5;22:00:00;45;0.9341526034046149
28/07/12;5;23:00:00;45;0.6183384073443953
29/07/12;6;00:00:00;45;0.6015130070697798
29/07/12;6;01:00:00;45;0.5351004265671405
29/07/12;6;02:00:00;45;0.5532878053845857
29/07/12;6;03:00:00;45;0.4530077175232884
29/07/12;6;04:00:00;45;0.3403646096651587
29/07/12;6;05:00:00;45;0.7316257953759402
29/07/12;6;06:00:00;45;0.09302467567756753
29/07/12;6;07:00:00;45;0.3587307625989724
29/07/12;6;08:00:00;45;0.5781410344259549
29/07/12;6;09:00:00;45;0.5588853772007614
